Id,f,f2,f3,n_words,n_sentences,sentenc_ave_size
9689,0,0,0,23,2,11.500000
9690,0,0,0,41,4,10.250000
9691,1,1,1,37,2,18.500000
9692,1,1,0,43,4,10.750000
9693,0,0,0,76,5,15.200000
9694,0,0,0,19,2,9.500000
9695,1,1,1,60,4,15.000000
9696,1,1,2,70,3,23.333333
9697,0,0,0,32,4,8.000000
9698,1,2,2,75,5,15.000000
9699,1,1,1,59,4,14.750000
9700,1,1,1,35,3,11.666667
9702,1,1,1,35,2,17.500000
9703,0,0,0,14,2,7.000000
9704,0,0,0,32,2,16.000000
9705,0,0,1,50,5,10.000000
9706,1,1,1,32,3,10.666667
9707,0,1,1,40,2,20.000000
9708,1,1,1,21,2,10.500000
9709,0,1,1,62,5,12.400000
9710,1,1,1,55,2,27.500000
9711,2,2,2,84,5,16.800000
9712,1,1,1,34,4,8.500000
9715,2,1,1,59,3,19.666667
9716,2,1,2,72,4,18.000000
9718,1,1,1,43,3,14.333333
9719,1,0,1,63,3,21.000000
9720,2,1,1,63,4,15.750000
9721,0,0,0,53,4,13.250000
9722,1,2,2,45,3,15.000000
9723,1,1,1,22,3,7.333333
9724,1,1,1,58,4,14.500000
9725,1,1,1,38,4,9.500000
9726,1,1,1,53,2,26.500000
9727,1,1,0,38,2,19.000000
9728,1,1,1,44,3,14.666667
9729,2,2,2,62,4,15.500000
9730,2,1,1,39,4,9.750000
9733,0,0,1,58,5,11.600000
9735,1,2,1,41,2,20.500000
9736,1,1,1,62,3,20.666667
9737,2,1,1,69,5,13.800000
9738,0,0,0,35,2,17.500000
9739,2,2,2,78,4,19.500000
9740,0,0,0,18,2,9.000000
9741,1,2,1,59,5,11.800000
9742,0,0,0,24,3,8.000000
9743,1,1,1,40,3,13.333333
9744,0,0,0,21,2,10.500000
9745,1,1,1,45,2,22.500000
9746,1,1,1,62,5,12.400000
9747,0,0,0,34,3,11.333333
9748,1,1,0,40,3,13.333333
9750,0,0,0,38,3,12.666667
9751,1,1,1,35,3,11.666667
9752,0,0,0,35,3,11.666667
9753,2,1,1,51,4,12.750000
9754,2,1,1,54,4,13.500000
9755,0,1,1,41,2,20.500000
9756,1,1,1,38,3,12.666667
9757,2,1,1,49,3,16.333333
9758,1,1,1,36,3,12.000000
9759,0,0,0,25,2,12.500000
9760,1,0,1,36,2,18.000000
9761,0,0,0,31,4,7.750000
9762,2,2,2,46,3,15.333333
9764,0,1,1,53,3,17.666667
9765,1,1,1,43,4,10.750000
9766,0,0,0,52,4,13.000000
9767,1,1,1,48,3,16.000000
9768,1,1,1,33,3,11.000000
9769,0,1,1,51,4,12.750000
9770,1,1,1,40,4,10.000000
9771,0,0,0,22,3,7.333333
9772,0,0,1,55,5,11.000000
9773,0,0,1,41,3,13.666667
9774,1,1,1,67,5,13.400000
9775,0,0,0,46,4,11.500000
9777,1,1,1,59,6,9.833333
9778,2,1,1,47,5,9.400000
9779,0,0,0,54,5,10.800000
9780,2,1,1,72,5,14.400000
9781,1,1,1,73,5,14.600000
9782,1,1,1,48,6,8.000000
9783,1,1,1,23,2,11.500000
9784,1,1,1,48,4,12.000000
9785,0,0,0,24,3,8.000000
9786,1,0,1,48,3,16.000000
9787,1,0,0,17,2,8.500000
9788,0,0,0,70,4,17.500000
9789,0,0,0,23,2,11.500000
9790,1,2,2,53,3,17.666667
9791,0,0,0,16,2,8.000000
9792,1,1,0,37,3,12.333333
9793,0,1,1,31,2,15.500000
9794,1,2,2,69,5,13.800000
9795,0,0,0,24,3,8.000000
9796,0,0,0,27,4,6.750000
9797,1,1,1,43,3,14.333333
9798,0,0,0,26,2,13.000000
9799,1,1,1,54,3,18.000000
9800,2,2,2,80,5,16.000000
9801,2,1,2,87,7,12.428571
9803,2,2,2,73,4,18.250000
9805,1,1,1,57,4,14.250000
9806,1,1,1,53,3,17.666667
9807,1,1,1,25,3,8.333333
